食品名,値段,赤,緑,黄,エネルギー,タンパク質,脂質,炭水化物,食塩相当量,カルシウム,野菜量,説明
きつねうどん,216,0.7,0,4.5,420,11.2,5.9,81.2,5.1,70,10,N/A
きつねそば,216,0.7,0,4.1,389,14.4,6.7,68,4,123,10,N/A
かけうどん,172,0,0,4.2,339,7.7,1,75.3,4.8,26,10,N/A
かけそば,172,0,0,3.5,308,11,1.8,62.1,3.7,79,10,N/A
温玉ぶっかけうどん,259,1,0,4.2,415,13.8,6.5,74.7,3.4,53,10,N/A
温玉ぶっかけそば,259,1,0,3.8,384,17.1,7.3,61.5,2.3,106,10,N/A
醤油ラーメン,345,0.8,0.1,4.9,470,17.1,8.9,80.4,6.4,61,50,N/A
担担麺,388,0.8,0.1,7,632,25.8,16.4,95.4,8.3,217,40,N/A
ベジタブルカレー,280,0,0.3,6.4,535,8.4,,,8.4,44,,N/A
カレーライスM,280,0,0.2,6.8,558,9,8.1,109.9,3,38,13,N/A
カレーライスS,248,0,0.1,4.6,377,6.1,5.7,74,2.1,26,9,N/A
カレーライスL,334,0,0.2,9.2,756,12.2,10.6,149.5,3.9,50,18,N/A
唐揚げカレーM,378,1,0.2,7.9,773,20.3,19.6,124.7,3.7,48,13,N/A
唐揚げカレーS,345,1.1,0.1,5.3,520,13.6,13.3,83.8,2.6,33,9,N/A
唐揚げカレーL,432,2.3,0.2,10.7,1042,27.2,26,169.2,4.8,63,18,N/A
豚塩カルビ丼M,378,2.3,0.1,5.3,616,14.3,18.1,93,1.7,37,40,N/A
豚塩カルビ丼S,345,1.6,0.1,3.5,418,9.8,12.6,62.1,1.2,26,28,N/A
豚塩カルビ丼L,432,3,0.2,7.2,831,19.1,23.5,127.5,2.1,49,52,N/A
唐揚げ玉子あんかけ丼M,378,2.1,0,6.8,708,21.7,17.6,110.2,2.4,29,0,N/A
唐揚げ玉子あんかけ丼S,345,1.4,0,4.5,475,14.6,11.9,73.7,1.6,20,0,N/A
唐揚げ玉子あんかけ丼L,432,2.7,0,9.2,957,29,23.3,150.5,3.1,38,0,N/A
若鳥醤油揚げ,172,0.7,0.1,1.5,188,12.8,8.3,15.9,1.5,24,40,N/A
ローストチキン,259,2.4,0.1,0,200,15.8,13,3.4,0.9,22.7,40,N/A
ササミチーズカツ,259,1,0.1,5.7,537,14.8,42,22.8,1.5,114,40,N/A
秋刀魚塩焼き,172,3,0.1,0,246,14.4,,,1.7,34,40,N/A
豆腐と野菜のすき焼風,172,1.3,0.2,0.3,181,13.5,9.2,10.4,2,94,65,N/A
鶏肉ニラもやし炒め,259,1.3,0.5,1.9,294,12.5,19.3,17.4,2.1,39,190,N/A
照りタルハンバーグ,259,1.3,0.3,4.1,450,16.5,34,17.7,2.6,64,69,N/A
骨ごと食べられるカレイ煮つけ,172,0.6,0,0.6,93,11.2,0.6,9.9,1.1,549,0,N/A
ライスLL,194,0,0,9.2,773,11.5,1.4,170.7,0,14,0,N/A
ライスL,144,0,0,6.2,554,8.3,1,122.4,0,10,0,N/A
ライスM,113,0,0,5,403,6,0.7,89,0,7,0,N/A
ライスS,92,0,0,3.4,269,4,0.5,59.4,0,5,0,N/A
ライスSS,72,0,0,2.1,168,2.5,0.3,37.1,0,3,0,N/A
味噌汁,32,0.3,0,0.4,52,2.9,2.5,4.8,1.7,39,0,N/A
豚汁,108,0.5,0.4,0.4,105,5.8,3.9,11,1.7,33,56,N/A
海老クリームコロッケ,108,0.2,0,3.2,272,4.4,21.2,15.1,0.5,34,2,N/A
さっぱり揚げ出し茄子,86,0,0.4,0.9,101,1.3,7,8.1,0.3,7,32,N/A
南瓜サラダ,64,0,0.3,1.5,144,1.3,12.2,7.4,0.8,16,95,N/A
きんぴらごぼう,64,0,0.3,0.3,51,1.1,1,9.6,1.1,22,39,N/A
インゲン胡麻和え,64,0,0.2,0.3,35,1.4,1.2,4.8,0.5,48,45,N/A
だし巻き,64,1,0,0.2,96,6.6,5.5,3.9,0.9,27,0,N/A
ポテト野菜サラダ,108,0,0.6,0.6,95,1.5,5,11.6,0.5,15,52,N/A
冷奴,43,0.7,0,0,55,4.7,2.9,2.3,0,57,3,N/A
スパイシーポテト,86,0,0.5,1,126,1.4,5.8,15.1,0.6,6,0,N/A
北海道いももち,86,0.1,0.4,2.1,202,1.4,8.6,29.9,0.3,11,0,N/A
鶏きも煮,86,0.6,0,0.2,66,8.6,1.4,4.6,0.5,3,0,N/A
オクラ巣ごもり玉子,86,1,0.1,0.1,92,6.7,5.5,3.5,0.6,56,33,N/A
大学芋,64,0,0.6,1.4,163,0.5,8.1,22,0,17,0,N/A
渋皮栗モンブラン,194,0,0,2.3,181,2.9,,,0.1,33,,N/A
両想いモンブラン,194,0,0,1.7,135,2.1,5.8,18.3,0,22,0,N/A
フルーツヨーグルト,108,0.5,0,0.8,102,2.5,1.9,18.7,0.1,77,0,N/A
